模板,编号,名称,X,Y,左上,左下,左左,左右,右上,右下,右左,右右,结果,备注
Hands,H34,右中指三节联动,343,458,右中指近节屈伸值减小（伸展）；右中指中节屈伸值减小（伸展）；右中指末节屈伸值减小（伸展）,右中指近节屈伸值增加（屈曲）；右中指中节屈伸值增加（屈曲）；右中指末节屈伸值增加（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H35,右食指三节联动,295,463,右食指近节屈伸值减小（伸展）；右食指中节屈伸值减小（伸展）；右食指末节屈伸值减小（伸展）,右食指近节屈伸值增加（屈曲）；右食指中节屈伸值增加（屈曲）；右食指末节屈伸值增加（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H36,右小指近节,431,464,右小指近节屈伸值减小（伸展）,右小指近节屈伸值增加（屈曲）,右小指近节侧摆值减小,右小指近节侧摆值增加,右小指近节屈伸值减小（伸展）,右小指近节屈伸值增加（屈曲）,右小指近节扭转值减小,右小指近节扭转值增加,一致,
Hands,H37,右拇指末节,206,470,右拇指末节屈伸值减小（屈曲）,右拇指末节屈伸值增加（伸展）,右拇指末节无变化〔X轴锁定〕,右拇指末节无变化〔X轴锁定〕,右拇指末节屈伸值减小（屈曲）,右拇指末节屈伸值增加（伸展）,右拇指末节无变化〔Z轴锁定〕,右拇指末节无变化〔Z轴锁定〕,一致,
Hands,H38,右无名指三节联动,387,473,右无名指近节屈伸值减小（伸展）；右无名指中节屈伸值减小（伸展）；右无名指末节屈伸值减小（伸展）,右无名指近节屈伸值增加（屈曲）；右无名指中节屈伸值增加（屈曲）；右无名指末节屈伸值增加（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H39,右小指三节联动,427,495,右小指近节屈伸值减小（伸展）；右小指中节屈伸值减小（伸展）；右小指末节屈伸值减小（伸展）,右小指近节屈伸值增加（屈曲）；右小指中节屈伸值增加（屈曲）；右小指末节屈伸值增加（屈曲）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H40,右拇指中节,228,514,右拇指中节屈伸值减小（屈曲）,右拇指中节屈伸值增加（伸展）,右拇指中节无变化〔X轴锁定〕,右拇指中节无变化〔X轴锁定〕,右拇指中节屈伸值减小（屈曲）,右拇指中节屈伸值增加（伸展）,右拇指中节无变化〔Z轴锁定〕,右拇指中节无变化〔Z轴锁定〕,一致,
Hands,H41,右拇指近节,256,570,右拇指近节上下摆值减小,右拇指近节上下摆值增加,右拇指近节屈伸值增加（伸展）,右拇指近节屈伸值减小（屈曲）,右拇指近节上下摆值减小,右拇指近节上下摆值增加,右拇指近节扭转值减小,右拇指近节扭转值增加,一致,
Hands,H42,角色右整手联动组,353,574,右小指近节屈伸值减小（伸展）；右小指中节屈伸值减小（伸展）；右小指末节屈伸值减小（伸展）；右无名指近节屈伸值减小（伸展）；右无名指中节屈伸值减小（伸展）；右无名指末节屈伸值减小（伸展）；右中指近节屈伸值减小（伸展）；右中指中节屈伸值减小（伸展）；右中指末节屈伸值减小（伸展）；右食指近节屈伸值减小（伸展）；右食指中节屈伸值减小（伸展）；右食指末节屈伸值减小（伸展）；右拇指近节屈伸值增加（伸展）；右拇指中节屈伸值增加（伸展）；右拇指末节屈伸值增加（伸展）,右小指近节屈伸值增加（屈曲）；右小指中节屈伸值增加（屈曲）；右小指末节屈伸值增加（屈曲）；右无名指近节屈伸值增加（屈曲）；右无名指中节屈伸值增加（屈曲）；右无名指末节屈伸值增加（屈曲）；右中指近节屈伸值增加（屈曲）；右中指中节屈伸值增加（屈曲）；右中指末节屈伸值增加（屈曲）；右食指近节屈伸值增加（屈曲）；右食指中节屈伸值增加（屈曲）；右食指末节屈伸值增加（屈曲）；右拇指近节屈伸值减小（屈曲）；右拇指中节屈伸值减小（屈曲）；右拇指末节屈伸值减小（屈曲）,右小指近节侧摆值增加；右无名指近节侧摆值增加；右中指近节侧摆值减小；右食指近节侧摆值减小,右小指近节侧摆值减小；右无名指近节侧摆值减小；右中指近节侧摆值增加；右食指近节侧摆值增加,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H43,右拇指三节联动,281,595,右拇指近节屈伸值减小（屈曲）；右拇指中节屈伸值减小（屈曲）；右拇指末节屈伸值减小（屈曲）,右拇指近节屈伸值增加（伸展）；右拇指中节屈伸值增加（伸展）；右拇指末节屈伸值增加（伸展）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,HT02,转到 Head,57,640,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Hands,H44,角色右手腕,360,665,角色右手腕屈伸值减小,角色右手腕屈伸值增加,角色右手腕扭转值减小,角色右手腕扭转值增加,角色右手腕屈伸值减小,角色右手腕屈伸值增加,角色右手腕侧摆值减小,角色右手腕侧摆值增加,一致,
Head,NT01,Face 入口（不支持）,57,60,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Head,NT02,转到 Body,424,60,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Head,N01,头部,240,150,头部屈伸值减小（抬头）,头部屈伸值增加（低头）,头部扭转值减小（向角色右转）,头部扭转值增加（向角色左转）,头部屈伸值减小（抬头）,头部屈伸值增加（低头）,头部侧摆值增加（向角色右侧倾）,头部侧摆值减小（向角色左侧倾）,一致,
Head,N02,双眼联动组,240,350,角色右眼上下摆值增加（向上看）；角色左眼上下摆值增加（向上看）,角色右眼上下摆值减小（向下看）；角色左眼上下摆值减小（向下看）,角色右眼侧摆值增加（向角色右看）；角色左眼侧摆值增加（向角色右看）,角色右眼侧摆值减小（向角色左看）；角色左眼侧摆值减小（向角色左看）,无姿态变化,无姿态变化,角色右眼侧摆值减小（向角色左看）；角色左眼侧摆值增加（向角色右看）,角色右眼侧摆值增加（向角色右看）；角色左眼侧摆值减小（向角色左看）,一致,
Head,N03,角色右眼,155,355,角色右眼上下摆值增加（向上看）,角色右眼上下摆值减小（向下看）,角色右眼侧摆值增加（向角色右看）,角色右眼侧摆值减小（向角色左看）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Head,N04,角色左眼,325,355,角色左眼上下摆值增加（向上看）,角色左眼上下摆值减小（向下看）,角色左眼侧摆值增加（向角色右看）,角色左眼侧摆值减小（向角色左看）,无姿态变化,无姿态变化,无姿态变化,无姿态变化,一致,
Head,N05,下颈部,240,665,下颈部屈伸值减小（后伸）,下颈部屈伸值增加（前屈）,下颈部扭转值减小（向角色右转）,下颈部扭转值增加（向角色左转）,下颈部屈伸值减小（后伸）,下颈部屈伸值增加（前屈）,下颈部侧摆值增加（向角色右侧倾）,下颈部侧摆值减小（向角色左侧倾）,一致,
